trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2193,False,"{'a': 0.002, 'e': 0.012475357255988723}",25,18,10.219691406284937,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2194,False,"{'a': 0.002, 'e': 0.012450431475565764}",20,15,9.292807582170273,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2195,False,"{'a': 0.002, 'e': 0.012425555496885309}",30,15,29.034996639679978,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2196,False,"{'a': 0.002, 'e': 0.012400729220443406}",25,17,14.7858603784054,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2197,False,"{'a': 0.002, 'e': 0.012375952546934911}",25,15,16.760262866111916,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2198,False,"{'a': 0.002, 'e': 0.012351225377253115}",25,14,19.850411056286294,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2199,False,"{'a': 0.002, 'e': 0.012326547612489296}",20,11,17.681787229494475,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2200,False,"{'a': 0.002, 'e': 0.012301919153932363}",25,18,15.708321211106737,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2201,False,"{'a': 0.002, 'e': 0.012277339903068436}",25,12,21.676471822736584,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2202,False,"{'a': 0.002, 'e': 0.012252809761580503}",20,12,14.942472842446588,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2203,False,"{'a': 0.002, 'e': 0.012228328631347955}",20,9,18.19510748348333,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2204,False,"{'a': 0.002, 'e': 0.012203896414446235}",25,15,15.437774075023862,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2205,False,"{'a': 0.002, 'e': 0.012179513013146433}",25,3,40.19674799145384,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2206,False,"{'a': 0.002, 'e': 0.012155178329914935}",30,15,28.69278108179503,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2207,False,"{'a': 0.002, 'e': 0.012130892267412964}",30,16,30.158291973917592,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2208,False,"{'a': 0.002, 'e': 0.012106654728496237}",20,0,23.96395389608482,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
2209,False,"{'a': 0.002, 'e': 0.012082465616214554}",20,2,33.78914494868564,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2210,False,"{'a': 0.002, 'e': 0.012058324833811458}",25,10,27.56181431169588,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2211,False,"{'a': 0.002, 'e': 0.012034232284723775}",20,8,26.12330133589212,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2212,False,"{'a': 0.002, 'e': 0.012010187872581275}",25,18,13.426462486249356,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2213,False,"{'a': 0.002, 'e': 0.01198619150120627}",25,3,28.14910523108937,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2214,False,"{'a': 0.002, 'e': 0.011962243074613261}",30,16,29.0373169709363,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2215,False,"{'a': 0.002, 'e': 0.011938342497008501}",30,23,14.840782334483126,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2216,False,"{'a': 0.002, 'e': 0.011914489672789647}",20,6,24.326300827147957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2217,False,"{'a': 0.002, 'e': 0.011890684506545358}",25,3,36.25654416035362,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2218,False,"{'a': 0.002, 'e': 0.01186692690305496}",20,0,34.14290295566074,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2219,False,"{'a': 0.002, 'e': 0.011843216767287999}",20,10,19.816896226404012,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2220,False,"{'a': 0.002, 'e': 0.011819554004403897}",30,18,1.9174757619580978,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
2221,False,"{'a': 0.002, 'e': 0.011795938519751562}",25,17,16.25609347968043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2222,False,"{'a': 0.002, 'e': 0.011772370218869043}",20,1,32.51283682593737,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2223,False,"{'a': 0.002, 'e': 0.011748849007483096}",20,0,31.973861550973986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2224,False,"{'a': 0.002, 'e': 0.011725374791508845}",20,0,31.697042614266117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2225,False,"{'a': 0.002, 'e': 0.011701947477049383}",20,14,12.57484122135061,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2226,False,"{'a': 0.002, 'e': 0.011678566970395442}",20,12,16.047497654361404,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2227,False,"{'a': 0.002, 'e': 0.011655233178024955}",20,9,20.165108133220844,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2228,False,"{'a': 0.002, 'e': 0.01163194600660272}",20,10,19.218250042647487,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2229,False,"{'a': 0.002, 'e': 0.011608705362980011}",20,12,14.166758961755967,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2230,False,"{'a': 0.002, 'e': 0.011585511154194242}",30,14,24.110569936893768,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2231,False,"{'a': 0.002, 'e': 0.011562363287468536}",25,16,17.98645373498932,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2232,False,"{'a': 0.002, 'e': 0.011539261670211397}",25,11,23.488212482608844,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2233,False,"{'a': 0.002, 'e': 0.011516206210016314}",20,10,15.266286594540379,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2234,False,"{'a': 0.002, 'e': 0.011493196814661438}",25,7,34.59280523153692,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2235,False,"{'a': 0.002, 'e': 0.011470233392109144}",20,5,31.219650302820373,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2236,False,"{'a': 0.002, 'e': 0.01144731585050571}",20,3,28.68793734011594,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2237,False,"{'a': 0.002, 'e': 0.011424444098180933}",20,10,19.749983577802954,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2238,False,"{'a': 0.002, 'e': 0.011401618043647792}",20,13,12.47463685053213,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2239,False,"{'a': 0.002, 'e': 0.011378837595602027}",30,3,47.94713987935961,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
2240,False,"{'a': 0.002, 'e': 0.011356102662921816}",20,11,21.4206301196651,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2241,False,"{'a': 0.002, 'e': 0.011333413154667387}",20,0,30.162453971679568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2242,False,"{'a': 0.002, 'e': 0.0113107689800807}",25,6,27.852946556285083,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2243,False,"{'a': 0.002, 'e': 0.011288170048585013}",30,20,18.798660244815384,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2244,False,"{'a': 0.002, 'e': 0.011265616269784572}",20,11,16.83912210153095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2245,False,"{'a': 0.002, 'e': 0.011243107553464221}",20,6,24.745738071888436,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2246,False,"{'a': 0.002, 'e': 0.011220643809589084}",20,14,13.77747001313438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2247,False,"{'a': 0.002, 'e': 0.011198224948304147}",20,14,9.210940578796759,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2248,False,"{'a': 0.002, 'e': 0.011175850879933932}",25,19,11.202485390830443,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2249,False,"{'a': 0.002, 'e': 0.011153521514982131}",25,8,26.534068352909134,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2250,False,"{'a': 0.002, 'e': 0.01113123676413127}",25,13,20.629755980651176,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2251,False,"{'a': 0.002, 'e': 0.011108996538242306}",20,2,26.769290273837036,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2252,False,"{'a': 0.002, 'e': 0.011086800748354308}",20,14,12.420229430909341,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2253,False,"{'a': 0.002, 'e': 0.011064649305684076}",35,13,19.4945702255883,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
2254,False,"{'a': 0.002, 'e': 0.01104254212162583}",25,13,23.05137742524196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2255,False,"{'a': 0.002, 'e': 0.011020479107750792}",20,10,16.633993367808316,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2256,False,"{'a': 0.002, 'e': 0.010998460175806881}",20,4,27.917179243561105,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2257,False,"{'a': 0.002, 'e': 0.010976485237718327}",20,16,6.498764628359757,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2258,False,"{'a': 0.002, 'e': 0.01095455420558537}",20,13,14.793375291855568,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2259,False,"{'a': 0.002, 'e': 0.01093266699168384}",25,11,25.51120508898572,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2260,False,"{'a': 0.002, 'e': 0.010910823508464855}",20,10,17.898245725322855,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2261,False,"{'a': 0.002, 'e': 0.01088902366855444}",30,17,24.88467462814293,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2262,False,"{'a': 0.002, 'e': 0.01086726738475323}",20,3,30.133662708478063,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2263,False,"{'a': 0.002, 'e': 0.010845554570036048}",20,16,7.241789038549138,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2264,False,"{'a': 0.002, 'e': 0.010823885137551606}",25,9,28.697751977284263,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2265,False,"{'a': 0.002, 'e': 0.010802259000622138}",25,15,15.920683186587397,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2266,False,"{'a': 0.002, 'e': 0.010780676072743084}",25,17,14.054201374289129,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2267,False,"{'a': 0.002, 'e': 0.010759136267582695}",25,18,16.316626736071786,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2268,False,"{'a': 0.002, 'e': 0.01073763949898172}",25,0,23.571432791914102,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
2269,False,"{'a': 0.002, 'e': 0.01071618568095305}",20,1,29.6067228646148,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2270,False,"{'a': 0.002, 'e': 0.010694774727681404}",30,19,18.035804072125543,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2271,False,"{'a': 0.002, 'e': 0.010673406553522925}",20,16,7.075992311059099,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2272,False,"{'a': 0.002, 'e': 0.010652081073004893}",30,15,31.86371801777294,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2273,False,"{'a': 0.002, 'e': 0.010630798200825346}",25,8,33.46254596233822,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2274,False,"{'a': 0.002, 'e': 0.010609557851852787}",30,16,24.309314918877387,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2275,False,"{'a': 0.002, 'e': 0.01058835994112578}",30,14,32.328273274376045,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
2276,False,"{'a': 0.002, 'e': 0.010567204383852655}",20,2,25.78487605845307,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
2277,False,"{'a': 0.002, 'e': 0.010546091095411146}",25,20,8.704595536792663,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
